Title,Type,Tags,Published,Variant Price,Variant Compare At Price,Image Src
Anahi Yerba Mate $10.000,,New!,TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/anahiyerbamate.jpg?v=1585369358
Ananay Deco $30.000,Diseno y Hogar,"Decoracion, Vitacura",TRUE,25000,30000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/ALP005_Manta_Alpaca2.jpg?v=1585369578
Barquillolate Paga $10.000 y obtiene 10% de descuento extra en el total.,Reposteria,Reposteria,TRUE,10000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/inbound2586454444723978549-CamilaSoto.jpg?v=1585369522
BByB $10.000,Ciclismo,"Deportes, New!",FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/BBYBLOGO_1326f6ef-3044-4ea8-a60a-b463c24def88.jpg?v=1585369595
BBYB $10.000,Cafeteria,New!,FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_14.28.42.png?v=1585369497
BByB $20.000,Ciclismo,"deportes, New!",FALSE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/BBYBLOGO.jpg?v=1585369640
Bebelandia $10.000,Cafeteria,Cuidado Personal,FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_14.37.06.png?v=1585369490
Bien Hecho $10.000,Servicio,"Constureria, Lo barnechea",TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/LogoBienHechoCostureria_65c01629-6138-4093-b152-c653821a883b.png?v=1585427466
Bien Hecho $20.000,Servicio,"Costureria, Lo barnechea",TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/LogoBienHechoCostureria.png?v=1585427443
Bohemia Restobar Stgo $10.000,Cafeteria,"New!, Restaurant",FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_16.42.46.png?v=1585369503
Cafe Caju $20.000,Cafeteria,"Cafe, Restaurant, Vitacura",FALSE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/unnamed.jpg?v=1585518084
Casa Froots $10.000,Cafeteria,"Cafe, Restaurant, nunoa",TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_7049.jpg?v=1585369644
Casa Froots $20.000,Cafeteria,"Cafe, Restaurant, nunoa",TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CasaFroots_color_ca478cb5-3383-4794-b8a6-469ae57d34ae.png?v=1585369590
Cavalier Natural $10.000,Menaje,Cuidado Personal,FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_14.41.29.png?v=1585369486
Chancha Javali 4 almuerzos por $22.500,Restaurante,"Las Condes, Restaurant",TRUE,22500,25500,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/chanchajavaliv2.jpg?v=1585369604
Dellanatura $20.000,,Restaurant,FALSE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/15653266147541_logo.png?v=1585369286
DeTablas y Ceramicas $18.000,,"Decoracion, New!",TRUE,15000,18000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/detablasyceramicas3.png?v=1585369352
Dtroch TI Consultoria informatica $20.000,Servicio,servicio,TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/photo-of-computers-near-window-3747486.jpg?v=1585407840
El Bajo $100.000,,"Deportes, New!, Vitacura",TRUE,80000,100000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/64989729_10156409163098339_4398668701541335040_o.png?v=1585447459
El Rapido $10.000,Restaurante,"Restaurant, Santiago",TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/4.jpg?v=1585369517
El Rapido $20.000,,"Restaurant, Santiago",TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/cropped-Logo-el-rapido-copia.png?v=1585369513
ENHEBRO  $10.000,Restaurante,"bar, Restaurant, Santiago",TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/8B2643F9-DDD5-4CCD-AFD5-187D2FE25EF3-GonzaloParedes.jpg?v=1585586331
ENHEBRO  $20.000,Restaurante,"bar, Restaurant, Santiago",TRUE,16000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/49C0D07E-A897-4D6D-9C3B-51C39050A47C-GonzaloParedes_715fb4e3-a215-4c25-b5ea-0e1ff445ae63.png?v=1585589252
Entre Lanas Y Punto $50.000,Decoracion,Costureria,TRUE,40000,50000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/ScreenShot2020-03-26at9.45.13PM.png?v=1585369314
Espacios Diseno y Decoracion 10% de descuento en el total,Diseno y Hogar,Decoracion,TRUE,20000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_15.04.01.png?v=1585369468
Ferialino $10.000,Accesorios,Accesorios,TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/logo.png?v=1585515149
Ferialino $10.000 y 10% de descuento.,Accesorios,Accesorios,TRUE,10000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/logo_dfe279a0-902f-4051-816d-26a46a35585a.png?v=1585515176
FirmaVirtual $20.000,Servicio,servicio,TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/image.png?v=1585369279
Gift Card,Gift Card,,FALSE,10,,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/e38bd83af578077b65a31424bd24d085.png?v=1585374136
Glanz Salon y Spa $10.000,Peluqueria,"Colina, Cuidado Personal, Peluqueria",TRUE,8500,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_25472_6617ea38-556e-456d-8637-a6308764be05.jpg?v=1585369559
Glanz Salon y Spa $15.000,Peluqueria,"Colina, Cuidado Personal, Peluqueria",TRUE,12500,15000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_25492.jpg?v=1585369610
I Love My Pet $20.000,Accesorios,"Accesorios, Mascotas, Providencia",TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/ilovemypet.jpg?v=1585369600
